:START_ID(AcquiredPoint),:END_ID(DataPoint),:TYPE
-9071621964419658256,3763752220587737635,DataPoint
-9070813110912634769,-7359470002711444108,DataPoint
-9069711653488963891,-515497596357077284,DataPoint
-9069543772003977307,1884368550472138822,DataPoint
-9069138220503050985,5633071282474936649,DataPoint
-9068377060357272262,3169333405755331065,DataPoint
-9067772220972975916,2437218390141491670,DataPoint
-9067700817717567020,-4157710559197894264,DataPoint
-9067613104126659874,3111253364727477595,DataPoint
-9067323828466523301,8150317710680082224,DataPoint
-9067245387944677378,5406732768306638318,DataPoint
-9067037092110734827,6230617965214343981,DataPoint
-9066993215895710395,6883377445328491549,DataPoint
-9066284828894065054,3747617495677930292,DataPoint
-9065608076968292473,7520184996949037804,DataPoint
-9065346654024640539,4486505010488519050,DataPoint
-9065344859668192549,4442092314028715889,DataPoint
-9065205564919184764,-7359470002711444108,DataPoint
-9064297809920004822,4680920783900181838,DataPoint
-9062924112144893775,-8420545502744499286,DataPoint
-9062268224850135057,3580943868643450885,DataPoint
-9061992745772630321,-4157710559197894264,DataPoint
-9061661141228254170,-2190750915662269960,DataPoint
-9060889096444782562,4442092314028715889,DataPoint
-9060837995357515922,-9208385875120264535,DataPoint
-9060577424131119401,7980562140376949937,DataPoint
-9060325078493887447,1727809192656307777,DataPoint
-9059880487917620176,-3178430512947345161,DataPoint
-9059422147947792103,612154465138853679,DataPoint
-9058984579113449766,-3178430512947345161,DataPoint
-9058675148056960322,2035255672019859891,DataPoint
-9058398650172477654,2346313829235539952,DataPoint
-9056571101342798624,-5797244606152189405,DataPoint
-9056383769460578784,2634557557309789682,DataPoint
-9055757323346861869,-3918348109346915957,DataPoint
-9055465700966970915,-8584631714929899164,DataPoint
-9055421446433305301,-6722382392903185077,DataPoint
-9055333360301364166,1125754924563169213,DataPoint
-9055319734404321339,-3827264414469826764,DataPoint
-9054074419776390489,-1964903838634371121,DataPoint
-9053489223783862719,3187641532366234034,DataPoint
-9052470799661798719,2035255672019859891,DataPoint
-9050859971074060203,-7785990881252862290,DataPoint
-9050235014289002211,2437218390141491670,DataPoint
-9049865352126616212,-8584631714929899164,DataPoint
-9049860343236446845,-7414915297272803105,DataPoint
-9049554723450063509,-5902388810790426270,DataPoint
-9049527573415369638,5294681256994906769,DataPoint
-9048602378462893848,-2298038255430017233,DataPoint
-9048326966438181720,3747617495677930292,DataPoint
-9047903170286567855,-6722382392903185077,DataPoint
-9046854317500053841,-7796288117367534758,DataPoint
-9045843948342168141,1187520484269110342,DataPoint
-9043733420714271284,7416799883392258271,DataPoint
-9043651065184321091,6230617965214343981,DataPoint
-9043249531827055642,7235315460169122707,DataPoint
-9043227841092895511,6459368125514513908,DataPoint
-9041265409718927633,5659390077294306971,DataPoint
-9040192429362317265,-7315681560399614650,DataPoint
-9039545116071017973,-8146906127921858665,DataPoint
-9039106393629074350,-5473020888422529961,DataPoint
-9038007011664564842,-5029771682129617715,DataPoint
-9037758264783613134,-1071549119801377973,DataPoint
-9037061158101126477,1727809192656307777,DataPoint
-9036966395133560094,-8578873735341428416,DataPoint
-9036854406989714866,2634557557309789682,DataPoint
-9036508925600578242,-5473020888422529961,DataPoint
-9035962278655592614,4442536933963322942,DataPoint
-9034780194497064870,1187520484269110342,DataPoint
-9034388428104615113,8237797997585450982,DataPoint
-9034276790138557197,7579599337073795740,DataPoint
-9034108238696407407,6184166125322478171,DataPoint
-9032931007138090042,2035255672019859891,DataPoint
-9032538856723285315,-5029771682129617715,DataPoint
-9031575271407635639,-6722382392903185077,DataPoint
-9031282372349951098,6772972574815946712,DataPoint
-9030352285174753721,8237797997585450982,DataPoint
-9030109804825925977,-8547910283976048215,DataPoint
-9029864586501125034,2710492640312594223,DataPoint
-9029235155171232546,-1002724051348395610,DataPoint
-9028612877211068605,3851357297857181230,DataPoint
-9027748803355631082,6048361804962262178,DataPoint
-9025388267555504805,8651977188853429774,DataPoint
-9024966960425532282,977392565289234386,DataPoint
-9023926924018331528,1884368550472138822,DataPoint
-9023668746293033321,-7359470002711444108,DataPoint
-9023040603784025660,-6273285128882058646,DataPoint
-9022634870157239468,-4138400819694905562,DataPoint
-9022012744079851415,-1360466901646309596,DataPoint
-9021912042784794147,678685911433745605,DataPoint
-9018431535373864715,-8891891285620117479,DataPoint
-9017312777429194416,-7652749906143060367,DataPoint
-9017225430144976187,-1360466901646309596,DataPoint
-9016605770481365069,1884368550472138822,DataPoint
-9016306827643226044,8120411159989566731,DataPoint
-9016054975631906882,-3341500039365543862,DataPoint
-9016053513270043915,-4106887350265432550,DataPoint
-9015906878798404906,-6323185844481532013,DataPoint
-9015000228091577861,-4170981799333512930,DataPoint
-9014728487037305125,837528360059851808,DataPoint
-9014202812830715509,-4286116086816162344,DataPoint
-9014189608281126379,-2475177383897786671,DataPoint
-9012567700937394776,-5473020888422529961,DataPoint
-9011630417633992818,-2868800207031613863,DataPoint
-9011223910701953880,1884368550472138822,DataPoint
-9009924803552108086,-5650986906416869641,DataPoint
-9008958731759673972,-558610269239559175,DataPoint
-9008945537534153893,-6623594200490381592,DataPoint
-9008711104262177638,4442092314028715889,DataPoint
-9008692022289904038,-2386708625767336575,DataPoint
-9007980162811363969,-9056277028644320420,DataPoint
-9007856033583562892,-767125499386215193,DataPoint
-9005484476328335222,-71619079548813826,DataPoint
-9005448257754818356,8124445293633227097,DataPoint
-9004015003909076523,6182831833100046817,DataPoint
-9003782919784026478,6048361804962262178,DataPoint
-9003237505391013913,5834882132881360976,DataPoint
