acquiredPointID:ID(AcquiredPoint),iteration:int,:LABEL
-9005448257754818356,62,AcquiredPoint
-9004015003909076523,71,AcquiredPoint
-9003782919784026478,111,AcquiredPoint
-9003237505391013913,55,AcquiredPoint
-9002815617403750975,21,AcquiredPoint
-9001610124806676494,35,AcquiredPoint
-9001365317386126579,87,AcquiredPoint
-9001079696199508935,16,AcquiredPoint
-8999226191734435079,72,AcquiredPoint
-8998149096123876571,144,AcquiredPoint
-8997924873241840039,23,AcquiredPoint
-8997073477061980811,48,AcquiredPoint
-8996799101261910322,123,AcquiredPoint
-8995321698902241609,19,AcquiredPoint
-8991834668111362453,68,AcquiredPoint
-8991250537925754749,33,AcquiredPoint
-8989282845946354968,91,AcquiredPoint
-8989113525629242744,59,AcquiredPoint
-8988588072457053359,14,AcquiredPoint
-8988126230878744673,72,AcquiredPoint
-8986054240324920350,87,AcquiredPoint
-8985882083718174161,57,AcquiredPoint
-8985730868272950103,57,AcquiredPoint
-8984673587619373724,53,AcquiredPoint
-8984359655302165776,12,AcquiredPoint
-8981729814112945079,21,AcquiredPoint
-8981289402837719201,125,AcquiredPoint
-8980975290570507258,24,AcquiredPoint
-8980534363939845258,28,AcquiredPoint
-8980365213207682800,55,AcquiredPoint
-8979709603883192857,53,AcquiredPoint
-8979675587844163028,98,AcquiredPoint
-8977686421704811501,24,AcquiredPoint
-8976609680517066381,44,AcquiredPoint
-8976574906756463622,62,AcquiredPoint
-8976383085356748812,14,AcquiredPoint
-8976363662451531017,46,AcquiredPoint
-8975286830210753276,85,AcquiredPoint
-8975145512281864251,14,AcquiredPoint
-8975009988347520384,3,AcquiredPoint
-8974712417285108188,95,AcquiredPoint
-8973921954224018384,3,AcquiredPoint
-8973747957053348530,146,AcquiredPoint
-8973486026714962852,55,AcquiredPoint
-8972711577583404630,51,AcquiredPoint
-8972562959622828019,16,AcquiredPoint
-8971952494983839889,56,AcquiredPoint
-8971456190031992318,106,AcquiredPoint
-8971126327732195457,113,AcquiredPoint
-8971010988463412429,67,AcquiredPoint
-8970878618066222604,2,AcquiredPoint
-8968960327464953336,82,AcquiredPoint
-8968561741228373502,124,AcquiredPoint
-8968414367524099953,70,AcquiredPoint
-8967635202887212612,80,AcquiredPoint
-8967551920552916855,123,AcquiredPoint
-8967549300080518271,9,AcquiredPoint
-8966713521885558687,2,AcquiredPoint
-8964538222762391968,91,AcquiredPoint
-8964450090821469829,37,AcquiredPoint
-8963259372918187265,71,AcquiredPoint
-8962970936512928097,6,AcquiredPoint
-8962477020786405695,14,AcquiredPoint
-8962434153713929642,46,AcquiredPoint
-8962430295471107475,72,AcquiredPoint
-8961199773902238992,80,AcquiredPoint
-8960477391837002676,11,AcquiredPoint
-8959626392455101294,51,AcquiredPoint
-8959399575297515145,108,AcquiredPoint
-8959359110577355964,51,AcquiredPoint
-8959064864484371694,128,AcquiredPoint
-8957946138012549023,33,AcquiredPoint
-8957808171641834134,119,AcquiredPoint
-8957676386427241228,31,AcquiredPoint
-8957618612238760448,48,AcquiredPoint
-8957201439030055782,37,AcquiredPoint
-8957021489185111697,18,AcquiredPoint
-8956306486376392785,9,AcquiredPoint
-8954337655566305024,52,AcquiredPoint
-8953821536929367753,28,AcquiredPoint
-8953626064472668802,1,AcquiredPoint
-8953557632269918971,15,AcquiredPoint
-8950025784247284861,36,AcquiredPoint
-8949836017315725923,68,AcquiredPoint
-8949551469443237821,63,AcquiredPoint
-8949188532399660215,131,AcquiredPoint
-8949104805218501233,110,AcquiredPoint
-8947696892211722669,106,AcquiredPoint
-8946378460485312025,56,AcquiredPoint
-8945623463371455967,30,AcquiredPoint
-8945145323994543982,67,AcquiredPoint
-8944846064775254332,0,AcquiredPoint
-8944740379754363719,48,AcquiredPoint
-8944680018956249691,76,AcquiredPoint
-8943229729775636208,124,AcquiredPoint
